instance_name,num_teams,num_slots,num_constraints,teams_is_even,estimated_minimum_slots,slot_pressure,slot_surplus,num_hard_constraints,num_soft_constraints,num_unclassified_constraints,num_constraints_missing_category,num_constraints_missing_tag,num_constraints_missing_type,ratio_hard_to_all,ratio_soft_to_all,ratio_unclassified_to_all,constraints_per_team,constraints_per_slot,constraints_per_team_slot,number_of_constraint_categories,number_of_constraint_tags,number_of_constraint_types,ratio_constraint_categories_to_constraints,ratio_constraint_tags_to_constraints,ratio_constraint_types_to_constraints,objective_present,objective_name,objective_sense,objective_is_minimization,objective_is_maximization
Late 2,16,30,1321,True,30,1.0,0,246,1075,0,0,0,0,0.186222558667676,0.813777441332324,0.0,82.5625,44.03333333333333,2.752083333333333,3,7,2,0.002271006813020439,0.005299015897047691,0.001514004542013626,True,SC,,False,False
Late 3,16,30,565,True,30,1.0,0,126,439,0,0,0,0,0.22300884955752212,0.7769911504424779,0.0,35.3125,18.833333333333332,1.1770833333333333,5,9,2,0.008849557522123894,0.01592920353982301,0.0035398230088495575,True,SC,,False,False
Late 4,18,34,130,True,34,1.0,0,96,34,0,0,0,0,0.7384615384615385,0.26153846153846155,0.0,7.222222222222222,3.823529411764706,0.21241830065359477,4,5,2,0.03076923076923077,0.038461538461538464,0.015384615384615385,True,SC,,False,False
Late 5,18,34,922,True,34,1.0,0,175,747,0,0,0,0,0.1898047722342733,0.8101952277657267,0.0,51.22222222222222,27.11764705882353,1.5065359477124183,4,7,2,0.004338394793926247,0.007592190889370932,0.0021691973969631237,True,SC,,False,False
Late 6,18,34,321,True,34,1.0,0,162,159,0,0,0,0,0.5046728971962616,0.4953271028037383,0.0,17.833333333333332,9.441176470588236,0.5245098039215687,4,7,2,0.012461059190031152,0.021806853582554516,0.006230529595015576,True,SC,,False,False
Late 7,18,34,864,True,34,1.0,0,126,738,0,0,0,0,0.14583333333333334,0.8541666666666666,0.0,48.0,25.41176470588235,1.411764705882353,4,7,2,0.004629629629629629,0.008101851851851851,0.0023148148148148147,True,SC,,False,False
Late 8,18,34,304,True,34,1.0,0,110,194,0,0,0,0,0.3618421052631579,0.6381578947368421,0.0,16.88888888888889,8.941176470588236,0.49673202614379086,4,7,2,0.013157894736842105,0.023026315789473683,0.006578947368421052,True,SC,,False,False
Late 9,18,34,504,True,34,1.0,0,102,402,0,0,0,0,0.20238095238095238,0.7976190476190477,0.0,28.0,14.823529411764707,0.8235294117647058,4,7,2,0.007936507936507936,0.013888888888888888,0.003968253968253968,True,SC,,False,False
Middle 1,16,30,1136,True,30,1.0,0,143,993,0,0,0,0,0.12588028169014084,0.8741197183098591,0.0,71.0,37.86666666666667,2.3666666666666667,3,6,2,0.002640845070422535,0.00528169014084507,0.0017605633802816902,True,SC,,False,False
Middle 10,20,38,911,True,38,1.0,0,197,714,0,0,0,0,0.21624588364434688,0.7837541163556532,0.0,45.55,23.973684210526315,1.1986842105263158,3,6,2,0.003293084522502744,0.006586169045005488,0.0021953896816684962,True,SC,,False,False
Middle 11,20,38,1224,True,38,1.0,0,176,1048,0,0,0,0,0.1437908496732026,0.8562091503267973,0.0,61.2,32.21052631578947,1.6105263157894736,4,7,2,0.0032679738562091504,0.005718954248366013,0.0016339869281045752,True,SC,,False,False
Middle 12,20,38,304,True,38,1.0,0,63,241,0,0,0,0,0.20723684210526316,0.7927631578947368,0.0,15.2,8.0,0.4,5,8,2,0.01644736842105263,0.02631578947368421,0.006578947368421052,True,SC,,False,False
Middle 13,20,38,569,True,38,1.0,0,219,350,0,0,0,0,0.38488576449912126,0.6151142355008787,0.0,28.45,14.973684210526315,0.7486842105263158,4,7,2,0.007029876977152899,0.012302284710017574,0.0035149384885764497,True,SC,,False,False
Middle 14,20,38,878,True,38,1.0,0,63,815,0,0,0,0,0.07175398633257403,0.928246013667426,0.0,43.9,23.105263157894736,1.1552631578947368,4,8,2,0.004555808656036446,0.009111617312072893,0.002277904328018223,True,SC,,False,False
Middle 15,20,38,228,True,38,1.0,0,95,133,0,0,0,0,0.4166666666666667,0.5833333333333334,0.0,11.4,6.0,0.3,4,7,2,0.017543859649122806,0.03070175438596491,0.008771929824561403,True,SC,,False,False
Middle 2,16,30,1474,True,30,1.0,0,245,1229,0,0,0,0,0.16621438263229307,0.833785617367707,0.0,92.125,49.13333333333333,3.0708333333333333,4,8,2,0.0027137042062415195,0.005427408412483039,0.0013568521031207597,True,SC,,False,False
Middle 3,16,30,1448,True,30,1.0,0,237,1211,0,0,0,0,0.16367403314917128,0.8363259668508287,0.0,90.5,48.266666666666666,3.0166666666666666,5,9,2,0.003453038674033149,0.006215469613259668,0.0013812154696132596,True,SC,,False,False
Middle 4,18,34,265,True,34,1.0,0,97,168,0,0,0,0,0.3660377358490566,0.6339622641509434,0.0,14.722222222222221,7.794117647058823,0.43300653594771243,3,6,2,0.011320754716981131,0.022641509433962263,0.007547169811320755,True,SC,,False,False
Middle 5,18,34,347,True,34,1.0,0,150,197,0,0,0,0,0.4322766570605187,0.5677233429394812,0.0,19.27777777777778,10.205882352941176,0.5669934640522876,4,7,2,0.011527377521613832,0.020172910662824207,0.005763688760806916,True,SC,,False,False
Middle 6,18,34,316,True,34,1.0,0,162,154,0,0,0,0,0.5126582278481012,0.4873417721518987,0.0,17.555555555555557,9.294117647058824,0.5163398692810458,4,8,2,0.012658227848101266,0.02531645569620253,0.006329113924050633,True,SC,,False,False
Middle 7,18,34,617,True,34,1.0,0,141,476,0,0,0,0,0.22852512155591573,0.7714748784440842,0.0,34.27777777777778,18.147058823529413,1.0081699346405228,4,8,2,0.006482982171799027,0.012965964343598054,0.0032414910858995136,True,SC,,False,False
Middle 8,18,34,286,True,34,1.0,0,62,224,0,0,0,0,0.21678321678321677,0.7832167832167832,0.0,15.88888888888889,8.411764705882353,0.4673202614379085,3,6,2,0.01048951048951049,0.02097902097902098,0.006993006993006993,True,SC,,False,False
Middle 9,18,34,294,True,34,1.0,0,93,201,0,0,0,0,0.3163265306122449,0.6836734693877551,0.0,16.333333333333332,8.647058823529411,0.4803921568627451,4,8,2,0.013605442176870748,0.027210884353741496,0.006802721088435374,True,SC,,False,False
Test Instance 1,6,10,56,True,10,1.0,0,17,39,0,0,0,0,0.30357142857142855,0.6964285714285714,0.0,9.333333333333334,5.6,0.9333333333333333,4,5,2,0.07142857142857142,0.08928571428571429,0.03571428571428571,True,SC,,False,False
Test Instance 2,6,10,52,True,10,1.0,0,9,43,0,0,0,0,0.17307692307692307,0.8269230769230769,0.0,8.666666666666666,5.2,0.8666666666666667,3,4,2,0.057692307692307696,0.07692307692307693,0.038461538461538464,True,SC,,False,False
Test Instance 3,6,10,95,True,10,1.0,0,37,58,0,0,0,0,0.3894736842105263,0.6105263157894737,0.0,15.833333333333334,9.5,1.5833333333333333,1,4,2,0.010526315789473684,0.042105263157894736,0.021052631578947368,True,SC,,False,False
Test Instance 4,6,10,220,True,10,1.0,0,50,170,0,0,0,0,0.22727272727272727,0.7727272727272727,0.0,36.666666666666664,22.0,3.6666666666666665,5,9,2,0.022727272727272728,0.04090909090909091,0.00909090909090909,True,SC,,False,False
Test Instance 5,16,30,143,True,30,1.0,0,68,75,0,0,0,0,0.4755244755244755,0.5244755244755245,0.0,8.9375,4.766666666666667,0.29791666666666666,3,5,2,0.02097902097902098,0.03496503496503497,0.013986013986013986,True,SC,,False,False
Test Instance 6,18,34,789,True,34,1.0,0,214,575,0,0,0,0,0.27122940430925224,0.7287705956907478,0.0,43.833333333333336,23.205882352941178,1.2892156862745099,3,7,2,0.0038022813688212928,0.008871989860583017,0.0025348542458808617,True,SC,,False,False
Test Instance 7,20,38,1266,True,38,1.0,0,178,1088,0,0,0,0,0.1406003159557662,0.8593996840442338,0.0,63.3,33.31578947368421,1.6657894736842105,4,8,2,0.00315955766192733,0.00631911532385466,0.001579778830963665,True,SC,,False,False
Test Instance 8,20,38,719,True,38,1.0,0,47,672,0,0,0,0,0.06536856745479833,0.9346314325452016,0.0,35.95,18.92105263157895,0.9460526315789474,4,7,2,0.005563282336578581,0.009735744089012517,0.0027816411682892906,True,SC,,False,False
Test Instance Demo,4,6,1,True,6,1.0,0,0,1,0,0,0,0,0.0,1.0,0.0,0.25,0.16666666666666666,0.041666666666666664,1,1,1,1.0,1.0,1.0,True,SC,,False,False
