instance_name,file_name,file_path,dataset_seed,source_random_seed,seed_batch_index,instance_index,difficulty,team_count,slot_count,round_robin_mode,meeting_count,constraint_count,hard_constraint_count,soft_constraint_count,hard_constraint_ratio,constraint_density,penalty_weight_min,penalty_weight_max,constraint_families,num_constraint_families,capacity_constraint_count,break_constraint_count,home_away_constraint_count,availability_constraint_count,venue_constraint_count,separation_constraint_count,fairness_constraint_count,travel_constraint_count
synthetic_study_medium_12t_double_seed42_0011,synthetic_study_medium_12t_double_seed42_0011.xml,data/raw/synthetic/study/synthetic_study_medium_12t_double_seed42_0011.xml,42,79232,0,11,medium,12,25,double,132,10,5,5,0.5,0.6,13,38,Availability;Break;Capacity;Fairness;HomeAway;Separation;Travel;Venue,8,1,2,1,1,1,1,2,1
synthetic_study_hard_14t_single_seed42_0012,synthetic_study_hard_14t_single_seed42_0012.xml,data/raw/synthetic/study/synthetic_study_hard_14t_single_seed42_0012.xml,42,87151,0,12,hard,14,18,single,91,15,11,4,0.7333,0.6,23,73,Availability;Break;Capacity;Fairness;HomeAway;Separation;Travel;Venue,8,2,2,2,2,2,2,2,1
synthetic_study_easy_08t_single_seed42_0013,synthetic_study_easy_08t_single_seed42_0013.xml,data/raw/synthetic/study/synthetic_study_easy_08t_single_seed42_0013.xml,42,95070,0,13,easy,8,9,single,28,6,3,3,0.5,0.22,5,22,Availability;Break;Capacity;Fairness;HomeAway;Venue,6,1,1,1,1,1,0,1,0
synthetic_study_medium_13t_single_seed42_0014,synthetic_study_medium_13t_single_seed42_0014.xml,data/raw/synthetic/study/synthetic_study_medium_13t_single_seed42_0014.xml,42,102989,0,14,medium,13,14,single,78,10,4,6,0.4,0.5,10,39,Availability;Break;Capacity;Fairness;HomeAway;Separation;Travel;Venue,8,1,2,1,1,1,1,2,1
synthetic_study_hard_15t_double_seed42_0015,synthetic_study_hard_15t_double_seed42_0015.xml,data/raw/synthetic/study/synthetic_study_hard_15t_double_seed42_0015.xml,42,110908,0,15,hard,15,36,double,210,17,11,6,0.6471,0.85,20,74,Availability;Break;Capacity;Fairness;HomeAway;Separation;Travel;Venue,8,2,3,2,2,2,2,3,1
synthetic_study_easy_04t_double_seed42_0016,synthetic_study_easy_04t_double_seed42_0016.xml,data/raw/synthetic/study/synthetic_study_easy_04t_double_seed42_0016.xml,42,118827,0,16,easy,4,8,double,12,4,2,2,0.5,0.15,6,23,Availability;Break;Capacity;HomeAway,4,1,1,1,1,0,0,0,0
synthetic_study_medium_14t_double_seed42_0017,synthetic_study_medium_14t_double_seed42_0017.xml,data/raw/synthetic/study/synthetic_study_medium_14t_double_seed42_0017.xml,42,126746,0,17,medium,14,27,double,182,13,8,5,0.6154,0.4,11,40,Availability;Break;Capacity;Fairness;HomeAway;Separation;Travel;Venue,8,2,2,2,1,1,1,3,1
synthetic_study_hard_16t_double_seed42_0018,synthetic_study_hard_16t_double_seed42_0018.xml,data/raw/synthetic/study/synthetic_study_hard_16t_double_seed42_0018.xml,42,134665,0,18,hard,16,32,double,240,17,9,8,0.5294,0.75,21,75,Availability;Break;Capacity;Fairness;HomeAway;Separation;Travel;Venue,8,3,4,2,2,1,1,3,1
synthetic_study_easy_05t_single_seed42_0019,synthetic_study_easy_05t_single_seed42_0019.xml,data/raw/synthetic/study/synthetic_study_easy_05t_single_seed42_0019.xml,42,142584,0,19,easy,5,6,single,10,3,1,2,0.3333,0.32,7,24,Break;Capacity;HomeAway,3,1,1,1,0,0,0,0,0
synthetic_study_medium_14t_single_seed42_0020,synthetic_study_medium_14t_single_seed42_0020.xml,data/raw/synthetic/study/synthetic_study_medium_14t_single_seed42_0020.xml,42,150503,0,20,medium,14,15,single,91,12,7,5,0.5833,0.3,12,41,Availability;Break;Capacity;Fairness;HomeAway;Separation;Travel;Venue,8,1,2,2,1,1,1,3,1
synthetic_study_hard_17t_single_seed42_0021,synthetic_study_hard_17t_single_seed42_0021.xml,data/raw/synthetic/study/synthetic_study_hard_17t_single_seed42_0021.xml,42,158422,0,21,hard,17,20,single,136,17,13,4,0.7647,0.65,22,76,Availability;Break;Capacity;Fairness;HomeAway;Separation;Travel;Venue,8,2,3,3,2,2,2,2,1
synthetic_study_easy_06t_single_seed42_0022,synthetic_study_easy_06t_single_seed42_0022.xml,data/raw/synthetic/study/synthetic_study_easy_06t_single_seed42_0022.xml,42,166341,0,22,easy,6,7,single,15,4,2,2,0.5,0.25,8,18,Availability;Break;Capacity;HomeAway,4,1,1,1,1,0,0,0,0
synthetic_study_medium_09t_double_seed42_0023,synthetic_study_medium_09t_double_seed42_0023.xml,data/raw/synthetic/study/synthetic_study_medium_09t_double_seed42_0023.xml,42,174260,0,23,medium,9,21,double,72,7,3,4,0.4286,0.55,13,35,Availability;Break;Capacity;Fairness;HomeAway;Travel;Venue,7,1,1,1,1,1,0,1,1
synthetic_study_hard_18t_double_seed42_0024,synthetic_study_hard_18t_double_seed42_0024.xml,data/raw/synthetic/study/synthetic_study_hard_18t_double_seed42_0024.xml,42,182179,0,24,hard,18,37,double,306,20,14,6,0.7,0.55,23,70,Availability;Break;Capacity;Fairness;HomeAway;Separation;Travel;Venue,8,2,4,3,2,2,2,4,1
synthetic_study_easy_07t_double_seed42_0025,synthetic_study_easy_07t_double_seed42_0025.xml,data/raw/synthetic/study/synthetic_study_easy_07t_double_seed42_0025.xml,42,190098,0,25,easy,7,16,double,42,8,4,4,0.5,0.18,5,19,Availability;Break;Capacity;Fairness;HomeAway;Separation;Travel;Venue,8,1,1,1,1,1,1,1,1
synthetic_study_medium_10t_single_seed42_0026,synthetic_study_medium_10t_single_seed42_0026.xml,data/raw/synthetic/study/synthetic_study_medium_10t_single_seed42_0026.xml,42,198017,0,26,medium,10,10,single,45,6,4,2,0.6667,0.45,10,36,Availability;Break;Capacity;HomeAway;Separation;Venue,6,1,1,1,1,1,1,0,0
synthetic_study_hard_19t_double_seed42_0027,synthetic_study_hard_19t_double_seed42_0027.xml,data/raw/synthetic/study/synthetic_study_hard_19t_double_seed42_0027.xml,42,205936,0,27,hard,19,42,double,342,21,12,9,0.5714,0.8,20,71,Availability;Break;Capacity;Fairness;HomeAway;Separation;Travel;Venue,8,3,5,3,2,2,2,3,1
synthetic_study_easy_08t_single_seed42_0028,synthetic_study_easy_08t_single_seed42_0028.xml,data/raw/synthetic/study/synthetic_study_easy_08t_single_seed42_0028.xml,42,213855,0,28,easy,8,8,single,28,7,3,4,0.4286,0.35,6,20,Availability;Break;Capacity;Fairness;HomeAway;Travel;Venue,7,1,1,1,1,1,0,1,1
synthetic_study_medium_11t_double_seed42_0029,synthetic_study_medium_11t_double_seed42_0029.xml,data/raw/synthetic/study/synthetic_study_medium_11t_double_seed42_0029.xml,42,221774,0,29,medium,11,25,double,110,8,5,3,0.625,0.35,11,37,Availability;Break;Capacity;Fairness;HomeAway;Separation;Venue,7,1,2,1,1,1,1,1,0
synthetic_study_hard_12t_single_seed42_0030,synthetic_study_hard_12t_single_seed42_0030.xml,data/raw/synthetic/study/synthetic_study_hard_12t_single_seed42_0030.xml,42,229693,0,30,hard,12,16,single,66,10,8,2,0.8,0.7,21,72,Availability;Break;Capacity;Fairness;HomeAway;Separation;Venue,7,2,2,2,1,1,1,1,0
synthetic_study_easy_04t_single_seed42_0031,synthetic_study_easy_04t_single_seed42_0031.xml,data/raw/synthetic/study/synthetic_study_easy_04t_single_seed42_0031.xml,42,237612,0,31,easy,4,4,single,6,4,1,3,0.25,0.28,7,21,Break;Capacity;Fairness;HomeAway,4,1,1,1,0,0,0,1,0
synthetic_study_medium_12t_single_seed42_0032,synthetic_study_medium_12t_single_seed42_0032.xml,data/raw/synthetic/study/synthetic_study_medium_12t_single_seed42_0032.xml,42,245531,0,32,medium,12,15,single,66,8,4,4,0.5,0.6,12,38,Availability;Break;Capacity;Fairness;HomeAway;Separation;Travel;Venue,8,1,1,1,1,1,1,1,1
synthetic_study_hard_14t_double_seed42_0033,synthetic_study_hard_14t_double_seed42_0033.xml,data/raw/synthetic/study/synthetic_study_hard_14t_double_seed42_0033.xml,42,253450,0,33,hard,14,28,double,182,13,9,4,0.6923,0.6,22,73,Availability;Break;Capacity;Fairness;HomeAway;Separation;Travel;Venue,8,2,2,2,2,1,1,2,1
synthetic_study_easy_05t_double_seed42_0034,synthetic_study_easy_05t_double_seed42_0034.xml,data/raw/synthetic/study/synthetic_study_easy_05t_double_seed42_0034.xml,42,261369,0,34,easy,5,12,double,20,6,3,3,0.5,0.22,8,22,Availability;Break;Capacity;Fairness;HomeAway;Venue,6,1,1,1,1,1,0,1,0
synthetic_study_medium_13t_double_seed42_0035,synthetic_study_medium_13t_double_seed42_0035.xml,data/raw/synthetic/study/synthetic_study_medium_13t_double_seed42_0035.xml,42,269288,0,35,medium,13,30,double,156,10,4,6,0.4,0.5,13,39,Availability;Break;Capacity;Fairness;HomeAway;Separation;Travel;Venue,8,1,2,1,1,1,1,2,1
synthetic_study_hard_15t_double_seed42_0036,synthetic_study_hard_15t_double_seed42_0036.xml,data/raw/synthetic/study/synthetic_study_hard_15t_double_seed42_0036.xml,42,277207,0,36,hard,15,32,double,210,14,9,5,0.6429,0.85,23,74,Availability;Break;Capacity;Fairness;HomeAway;Separation;Travel;Venue,8,2,2,2,2,1,1,3,1
synthetic_study_easy_06t_single_seed42_0037,synthetic_study_easy_06t_single_seed42_0037.xml,data/raw/synthetic/study/synthetic_study_easy_06t_single_seed42_0037.xml,42,285126,0,37,easy,6,5,single,15,6,3,3,0.5,0.15,5,23,Availability;Break;Capacity;Fairness;HomeAway;Venue,6,1,1,1,1,1,0,1,0
synthetic_study_medium_13t_single_seed42_0038,synthetic_study_medium_13t_single_seed42_0038.xml,data/raw/synthetic/study/synthetic_study_medium_13t_single_seed42_0038.xml,42,293045,0,38,medium,13,15,single,78,10,6,4,0.6,0.4,10,40,Availability;Break;Capacity;Fairness;HomeAway;Separation;Travel;Venue,8,1,2,2,1,1,1,1,1
synthetic_study_hard_16t_single_seed42_0039,synthetic_study_hard_16t_single_seed42_0039.xml,data/raw/synthetic/study/synthetic_study_hard_16t_single_seed42_0039.xml,42,300964,0,39,hard,16,18,single,120,14,8,6,0.5714,0.75,20,75,Availability;Break;Capacity;Fairness;HomeAway;Separation;Travel;Venue,8,2,3,2,1,1,1,3,1
synthetic_study_easy_06t_single_seed42_0040,synthetic_study_easy_06t_single_seed42_0040.xml,data/raw/synthetic/study/synthetic_study_easy_06t_single_seed42_0040.xml,42,308883,0,40,easy,6,6,single,15,7,3,4,0.4286,0.32,6,24,Availability;Break;Capacity;Fairness;HomeAway;Travel;Venue,7,1,1,1,1,1,0,1,1
synthetic_study_medium_14t_double_seed42_0041,synthetic_study_medium_14t_double_seed42_0041.xml,data/raw/synthetic/study/synthetic_study_medium_14t_double_seed42_0041.xml,42,316802,0,41,medium,14,29,double,182,13,7,6,0.5385,0.3,11,41,Availability;Break;Capacity;Fairness;HomeAway;Separation;Travel;Venue,8,1,3,2,1,1,1,3,1
synthetic_study_hard_17t_double_seed42_0042,synthetic_study_hard_17t_double_seed42_0042.xml,data/raw/synthetic/study/synthetic_study_hard_17t_double_seed42_0042.xml,42,324721,0,42,hard,17,38,double,272,15,11,4,0.7333,0.65,21,76,Availability;Break;Capacity;Fairness;HomeAway;Separation;Travel;Venue,8,2,2,2,2,2,2,2,1
synthetic_study_easy_07t_double_seed42_0043,synthetic_study_easy_07t_double_seed42_0043.xml,data/raw/synthetic/study/synthetic_study_easy_07t_double_seed42_0043.xml,42,332640,0,43,easy,7,16,double,42,8,4,4,0.5,0.25,7,18,Availability;Break;Capacity;Fairness;HomeAway;Separation;Travel;Venue,8,1,1,1,1,1,1,1,1
synthetic_study_medium_08t_single_seed42_0044,synthetic_study_medium_08t_single_seed42_0044.xml,data/raw/synthetic/study/synthetic_study_medium_08t_single_seed42_0044.xml,42,340559,0,44,medium,8,11,single,28,6,3,3,0.5,0.55,12,35,Availability;Break;Capacity;Fairness;HomeAway;Venue,6,1,1,1,1,1,0,1,0
synthetic_study_hard_18t_double_seed42_0045,synthetic_study_hard_18t_double_seed42_0045.xml,data/raw/synthetic/study/synthetic_study_hard_18t_double_seed42_0045.xml,42,348478,0,45,hard,18,39,double,306,17,11,6,0.6471,0.55,22,70,Availability;Break;Capacity;Fairness;HomeAway;Separation;Travel;Venue,8,2,3,2,2,2,2,3,1
synthetic_study_easy_04t_single_seed42_0046,synthetic_study_easy_04t_single_seed42_0046.xml,data/raw/synthetic/study/synthetic_study_easy_04t_single_seed42_0046.xml,42,356397,0,46,easy,4,3,single,6,4,2,2,0.5,0.18,8,19,Availability;Break;Capacity;HomeAway,4,1,1,1,1,0,0,0,0
synthetic_study_medium_09t_double_seed42_0047,synthetic_study_medium_09t_double_seed42_0047.xml,data/raw/synthetic/study/synthetic_study_medium_09t_double_seed42_0047.xml,42,364316,0,47,medium,9,22,double,72,9,6,3,0.6667,0.45,13,36,Availability;Break;Capacity;Fairness;HomeAway;Separation;Venue,7,1,2,2,1,1,1,1,0
synthetic_study_hard_19t_single_seed42_0048,synthetic_study_hard_19t_single_seed42_0048.xml,data/raw/synthetic/study/synthetic_study_hard_19t_single_seed42_0048.xml,42,372235,0,48,hard,19,21,single,171,17,10,7,0.5882,0.8,23,71,Availability;Break;Capacity;Fairness;HomeAway;Separation;Travel;Venue,8,3,3,2,2,2,1,3,1
synthetic_study_easy_04t_single_seed42_0049,synthetic_study_easy_04t_single_seed42_0049.xml,data/raw/synthetic/study/synthetic_study_easy_04t_single_seed42_0049.xml,42,380154,0,49,easy,4,4,single,6,4,2,2,0.5,0.35,5,20,Availability;Break;Capacity;HomeAway,4,1,1,1,1,0,0,0,0
synthetic_study_medium_10t_single_seed42_0050,synthetic_study_medium_10t_single_seed42_0050.xml,data/raw/synthetic/study/synthetic_study_medium_10t_single_seed42_0050.xml,42,388073,0,50,medium,10,11,single,45,9,5,4,0.5556,0.35,10,37,Availability;Break;Capacity;Fairness;HomeAway;Separation;Travel;Venue,8,1,2,1,1,1,1,1,1
synthetic_study_hard_20t_double_seed42_0051,synthetic_study_hard_20t_double_seed42_0051.xml,data/raw/synthetic/study/synthetic_study_hard_20t_double_seed42_0051.xml,42,395992,0,51,hard,20,42,double,380,19,15,4,0.7895,0.7,20,72,Availability;Break;Capacity;Fairness;HomeAway;Separation;Travel;Venue,8,3,3,3,2,2,2,3,1
synthetic_study_easy_05t_double_seed42_0052,synthetic_study_easy_05t_double_seed42_0052.xml,data/raw/synthetic/study/synthetic_study_easy_05t_double_seed42_0052.xml,42,403911,0,52,easy,5,12,double,20,6,2,4,0.3333,0.28,6,21,Availability;Break;Capacity;Fairness;HomeAway;Travel,6,1,1,1,1,0,0,1,1
synthetic_study_medium_11t_double_seed42_0053,synthetic_study_medium_11t_double_seed42_0053.xml,data/raw/synthetic/study/synthetic_study_medium_11t_double_seed42_0053.xml,42,411830,0,53,medium,11,24,double,110,11,6,5,0.5455,0.6,11,38,Availability;Break;Capacity;Fairness;HomeAway;Separation;Travel;Venue,8,1,2,2,1,1,1,2,1
synthetic_study_hard_20t_double_seed42_0054,synthetic_study_hard_20t_double_seed42_0054.xml,data/raw/synthetic/study/synthetic_study_hard_20t_double_seed42_0054.xml,42,419749,0,54,hard,20,43,double,380,20,14,6,0.7,0.6,21,73,Availability;Break;Capacity;Fairness;HomeAway;Separation;Travel;Venue,8,2,4,3,2,2,2,4,1
synthetic_study_easy_06t_single_seed42_0055,synthetic_study_easy_06t_single_seed42_0055.xml,data/raw/synthetic/study/synthetic_study_easy_06t_single_seed42_0055.xml,42,427668,0,55,easy,6,5,single,15,6,3,3,0.5,0.22,7,22,Availability;Break;Capacity;Fairness;HomeAway;Venue,6,1,1,1,1,1,0,1,0
synthetic_study_medium_12t_single_seed42_0056,synthetic_study_medium_12t_single_seed42_0056.xml,data/raw/synthetic/study/synthetic_study_medium_12t_single_seed42_0056.xml,42,435587,0,56,medium,12,14,single,66,11,5,6,0.4545,0.5,12,39,Availability;Break;Capacity;Fairness;HomeAway;Separation;Travel;Venue,8,1,3,1,1,1,1,2,1
synthetic_study_hard_13t_single_seed42_0057,synthetic_study_hard_13t_single_seed42_0057.xml,data/raw/synthetic/study/synthetic_study_hard_13t_single_seed42_0057.xml,42,443506,0,57,hard,13,19,single,78,10,6,4,0.6,0.85,22,74,Availability;Break;Capacity;Fairness;HomeAway;Separation;Travel;Venue,8,1,2,2,1,1,1,1,1
synthetic_study_easy_07t_single_seed42_0058,synthetic_study_easy_07t_single_seed42_0058.xml,data/raw/synthetic/study/synthetic_study_easy_07t_single_seed42_0058.xml,42,451425,0,58,easy,7,7,single,21,7,3,4,0.4286,0.15,8,23,Availability;Break;Capacity;Fairness;HomeAway;Travel;Venue,7,1,1,1,1,1,0,1,1
synthetic_study_medium_13t_double_seed42_0059,synthetic_study_medium_13t_double_seed42_0059.xml,data/raw/synthetic/study/synthetic_study_medium_13t_double_seed42_0059.xml,42,459344,0,59,medium,13,30,double,156,13,8,5,0.6154,0.4,13,40,Availability;Break;Capacity;Fairness;HomeAway;Separation;Travel;Venue,8,2,2,2,1,1,1,3,1
synthetic_study_hard_13t_double_seed42_0060,synthetic_study_hard_13t_double_seed42_0060.xml,data/raw/synthetic/study/synthetic_study_hard_13t_double_seed42_0060.xml,42,467263,0,60,hard,13,32,double,156,11,6,5,0.5455,0.75,23,75,Availability;Break;Capacity;Fairness;HomeAway;Separation;Travel;Venue,8,1,2,2,1,1,1,2,1
synthetic_study_easy_05t_single_seed43_0061,synthetic_study_easy_05t_single_seed43_0061.xml,data/raw/synthetic/study/synthetic_study_easy_05t_single_seed43_0061.xml,43,43,1,61,easy,5,5,single,10,3,1,2,0.3333,0.28,5,18,Break;Capacity;HomeAway,3,1,1,1,0,0,0,0,0
synthetic_study_medium_08t_single_seed43_0062,synthetic_study_medium_08t_single_seed43_0062.xml,data/raw/synthetic/study/synthetic_study_medium_08t_single_seed43_0062.xml,43,7962,1,62,medium,8,8,single,28,6,3,3,0.5,0.6,10,35,Availability;Break;Capacity;Fairness;HomeAway;Venue,6,1,1,1,1,1,0,1,0
synthetic_study_hard_12t_single_seed43_0063,synthetic_study_hard_12t_single_seed43_0063.xml,data/raw/synthetic/study/synthetic_study_hard_12t_single_seed43_0063.xml,43,15881,1,63,hard,12,13,single,66,11,8,3,0.7273,0.6,20,70,Availability;Break;Capacity;Fairness;HomeAway;Separation;Venue,7,2,2,2,1,1,1,2,0
synthetic_study_easy_06t_single_seed43_0064,synthetic_study_easy_06t_single_seed43_0064.xml,data/raw/synthetic/study/synthetic_study_easy_06t_single_seed43_0064.xml,43,23800,1,64,easy,6,5,single,15,3,1,2,0.3333,0.22,6,19,Break;Capacity;HomeAway,3,1,1,1,0,0,0,0,0
synthetic_study_medium_08t_double_seed43_0065,synthetic_study_medium_08t_double_seed43_0065.xml,data/raw/synthetic/study/synthetic_study_medium_08t_double_seed43_0065.xml,43,31719,1,65,medium,8,15,double,56,8,4,4,0.5,0.5,11,36,Availability;Break;Capacity;Fairness;HomeAway;Separation;Travel;Venue,8,1,1,1,1,1,1,1,1
synthetic_study_hard_13t_double_seed43_0066,synthetic_study_hard_13t_double_seed43_0066.xml,data/raw/synthetic/study/synthetic_study_hard_13t_double_seed43_0066.xml,43,39638,1,66,hard,13,29,double,156,13,8,5,0.6154,0.85,21,71,Availability;Break;Capacity;Fairness;HomeAway;Separation;Travel;Venue,8,2,2,2,1,1,1,3,1
synthetic_study_easy_07t_double_seed43_0067,synthetic_study_easy_07t_double_seed43_0067.xml,data/raw/synthetic/study/synthetic_study_easy_07t_double_seed43_0067.xml,43,47557,1,67,easy,7,16,double,42,5,2,3,0.4,0.15,7,20,Availability;Break;Capacity;Fairness;HomeAway,5,1,1,1,1,0,0,1,0
synthetic_study_medium_09t_single_seed43_0068,synthetic_study_medium_09t_single_seed43_0068.xml,data/raw/synthetic/study/synthetic_study_medium_09t_single_seed43_0068.xml,43,55476,1,68,medium,9,11,single,36,8,5,3,0.625,0.4,12,37,Availability;Break;Capacity;Fairness;HomeAway;Separation;Venue,7,1,2,1,1,1,1,1,0
synthetic_study_hard_13t_double_seed43_0069,synthetic_study_hard_13t_double_seed43_0069.xml,data/raw/synthetic/study/synthetic_study_hard_13t_double_seed43_0069.xml,43,63395,1,69,hard,13,30,double,156,14,8,6,0.5714,0.75,22,72,Availability;Break;Capacity;Fairness;HomeAway;Separation;Travel;Venue,8,2,3,2,1,1,1,3,1
synthetic_study_easy_08t_single_seed43_0070,synthetic_study_easy_08t_single_seed43_0070.xml,data/raw/synthetic/study/synthetic_study_easy_08t_single_seed43_0070.xml,43,71314,1,70,easy,8,8,single,28,5,2,3,0.4,0.32,8,21,Availability;Break;Capacity;Fairness;HomeAway,5,1,1,1,1,0,0,1,0
synthetic_study_medium_10t_double_seed43_0071,synthetic_study_medium_10t_double_seed43_0071.xml,data/raw/synthetic/study/synthetic_study_medium_10t_double_seed43_0071.xml,43,79233,1,71,medium,10,21,double,90,10,6,4,0.6,0.3,13,38,Availability;Break;Capacity;Fairness;HomeAway;Separation;Travel;Venue,8,1,2,2,1,1,1,1,1
synthetic_study_hard_14t_single_seed43_0072,synthetic_study_hard_14t_single_seed43_0072.xml,data/raw/synthetic/study/synthetic_study_hard_14t_single_seed43_0072.xml,43,87152,1,72,hard,14,18,single,91,15,11,4,0.7333,0.65,23,73,Availability;Break;Capacity;Fairness;HomeAway;Separation;Travel;Venue,8,2,2,2,2,2,2,2,1
synthetic_study_easy_08t_single_seed43_0073,synthetic_study_easy_08t_single_seed43_0073.xml,data/raw/synthetic/study/synthetic_study_easy_08t_single_seed43_0073.xml,43,95071,1,73,easy,8,9,single,28,6,3,3,0.5,0.25,5,22,Availability;Break;Capacity;Fairness;HomeAway;Venue,6,1,1,1,1,1,0,1,0
synthetic_study_medium_13t_single_seed43_0074,synthetic_study_medium_13t_single_seed43_0074.xml,data/raw/synthetic/study/synthetic_study_medium_13t_single_seed43_0074.xml,43,102990,1,74,medium,13,14,single,78,10,5,5,0.5,0.55,10,39,Availability;Break;Capacity;Fairness;HomeAway;Separation;Travel;Venue,8,1,2,1,1,1,1,2,1
synthetic_study_hard_15t_double_seed43_0075,synthetic_study_hard_15t_double_seed43_0075.xml,data/raw/synthetic/study/synthetic_study_hard_15t_double_seed43_0075.xml,43,110909,1,75,hard,15,36,double,210,17,11,6,0.6471,0.55,20,74,Availability;Break;Capacity;Fairness;HomeAway;Separation;Travel;Venue,8,2,3,2,2,2,2,3,1
synthetic_study_easy_04t_double_seed43_0076,synthetic_study_easy_04t_double_seed43_0076.xml,data/raw/synthetic/study/synthetic_study_easy_04t_double_seed43_0076.xml,43,118828,1,76,easy,4,8,double,12,4,2,2,0.5,0.18,6,23,Availability;Break;Capacity;HomeAway,4,1,1,1,1,0,0,0,0
synthetic_study_medium_14t_double_seed43_0077,synthetic_study_medium_14t_double_seed43_0077.xml,data/raw/synthetic/study/synthetic_study_medium_14t_double_seed43_0077.xml,43,126747,1,77,medium,14,27,double,182,13,8,5,0.6154,0.45,11,40,Availability;Break;Capacity;Fairness;HomeAway;Separation;Travel;Venue,8,2,2,2,1,1,1,3,1
synthetic_study_hard_16t_double_seed43_0078,synthetic_study_hard_16t_double_seed43_0078.xml,data/raw/synthetic/study/synthetic_study_hard_16t_double_seed43_0078.xml,43,134666,1,78,hard,16,32,double,240,17,10,7,0.5882,0.8,21,75,Availability;Break;Capacity;Fairness;HomeAway;Separation;Travel;Venue,8,3,3,2,2,2,1,3,1
synthetic_study_easy_05t_single_seed43_0079,synthetic_study_easy_05t_single_seed43_0079.xml,data/raw/synthetic/study/synthetic_study_easy_05t_single_seed43_0079.xml,43,142585,1,79,easy,5,6,single,10,3,1,2,0.3333,0.35,7,24,Break;Capacity;HomeAway,3,1,1,1,0,0,0,0,0
