instance_name,dataset_type,num_teams,num_slots,num_constraints,teams_is_even,estimated_minimum_slots,slot_pressure,slot_surplus,num_hard_constraints,num_soft_constraints,num_unclassified_constraints,num_constraints_missing_category,num_constraints_missing_tag,num_constraints_missing_type,ratio_hard_to_all,ratio_soft_to_all,ratio_unclassified_to_all,constraints_per_team,constraints_per_slot,constraints_per_team_slot,number_of_constraint_categories,number_of_constraint_tags,number_of_constraint_types,ratio_constraint_categories_to_constraints,ratio_constraint_tags_to_constraints,ratio_constraint_types_to_constraints,objective_present,objective_name,objective_sense,objective_is_minimization,objective_is_maximization,best_solver,benchmark_solver_support_coverage,benchmark_total_solver_count,benchmark_eligible_solver_count,benchmark_supported_solver_count,benchmark_partially_supported_solver_count,benchmark_unsupported_solver_count,benchmark_not_configured_solver_count,benchmark_failed_solver_count,benchmark_best_solver_support_status,benchmark_best_solver_scoring_status,benchmark_best_solver_mean_objective,benchmark_best_solver_mean_runtime_seconds,benchmark_best_solver_num_runs,objective_cpsat_solver,objective_random_baseline,objective_simulated_annealing_solver
Early 1,real,16,30,196,True,30,1.0,0,83,113,0,0,0,0,0.423469387755102,0.576530612244898,0.0,12.25,6.533333333333333,0.4083333333333333,5,8,2,0.0255102040816326,0.0408163265306122,0.010204081632653,True,SC,,False,False,simulated_annealing_solver,eligible=3/4; supported=0; partial=3; unsupported=0; not_configured=1; failed=0,4,3,0,3,0,1,0,simplified_baseline,legacy_feasible_run,27.0,1.6561145999585278,1,30.0,676.639427,27.0
Early 6,real,18,34,989,True,34,1.0,0,192,797,0,0,0,0,0.1941354903943377,0.8058645096056622,0.0,54.94444444444444,29.08823529411765,1.6160130718954249,5,8,2,0.0050556117290192,0.0080889787664307,0.0020222446916076,True,SC,,False,False,simulated_annealing_solver,eligible=3/4; supported=0; partial=3; unsupported=0; not_configured=1; failed=0,4,3,0,3,0,1,0,simplified_baseline,legacy_feasible_run,32.0,2.409928100008983,1,34.0,1601.639427,32.0
Early 7,real,18,34,1332,True,34,1.0,0,174,1158,0,0,0,0,0.1306306306306306,0.8693693693693694,0.0,74.0,39.1764705882353,2.176470588235294,4,8,2,0.003003003003003,0.006006006006006,0.0015015015015015,True,SC,,False,False,simulated_annealing_solver,eligible=3/4; supported=0; partial=3; unsupported=0; not_configured=1; failed=0,4,3,0,3,0,1,0,simplified_baseline,legacy_feasible_run,32.0,1.94570979999844,1,34.0,1944.639427,32.0
Early 8,real,18,34,652,True,34,1.0,0,70,582,0,0,0,0,0.107361963190184,0.8926380368098159,0.0,36.22222222222222,19.176470588235293,1.065359477124183,4,7,2,0.0061349693251533,0.0107361963190184,0.0030674846625766,True,SC,,False,False,simulated_annealing_solver,eligible=3/4; supported=0; partial=3; unsupported=0; not_configured=1; failed=0,4,3,0,3,0,1,0,simplified_baseline,legacy_feasible_run,32.0,2.092499200021848,1,34.0,1264.639427,32.0
Early 9,real,18,34,191,True,34,1.0,0,89,102,0,0,0,0,0.4659685863874345,0.5340314136125655,0.0,10.61111111111111,5.617647058823529,0.3120915032679738,4,7,2,0.0209424083769633,0.0366492146596858,0.0104712041884816,True,SC,,False,False,simulated_annealing_solver,eligible=3/4; supported=0; partial=3; unsupported=0; not_configured=1; failed=0,4,3,0,3,0,1,0,simplified_baseline,legacy_feasible_run,32.0,1.7629942999919876,1,34.0,803.639427,32.0
Late 1,real,16,30,775,True,30,1.0,0,233,542,0,0,0,0,0.3006451612903226,0.6993548387096774,0.0,48.4375,25.83333333333333,1.6145833333333333,4,7,2,0.0051612903225806,0.0090322580645161,0.0025806451612903,True,SC,,False,False,simulated_annealing_solver,eligible=3/4; supported=0; partial=3; unsupported=0; not_configured=1; failed=0,4,3,0,3,0,1,0,simplified_baseline,legacy_feasible_run,27.0,1.7073404000257142,1,30.0,1255.639427,27.0
Late 10,real,20,38,927,True,38,1.0,0,233,694,0,0,0,0,0.2513484358144552,0.7486515641855448,0.0,46.35,24.394736842105264,1.2197368421052632,4,8,2,0.0043149946062567,0.0086299892125134,0.0021574973031283,True,SC,,False,False,simulated_annealing_solver,eligible=3/4; supported=0; partial=3; unsupported=0; not_configured=1; failed=0,4,3,0,3,0,1,0,simplified_baseline,legacy_feasible_run,38.0,2.120351899997331,1,38.0,1687.639427,38.0
Late 11,real,20,38,418,True,38,1.0,0,52,366,0,0,0,0,0.124401913875598,0.8755980861244019,0.0,20.9,11.0,0.55,4,7,2,0.0095693779904306,0.0167464114832535,0.0047846889952153,True,SC,,False,False,simulated_annealing_solver,eligible=3/4; supported=0; partial=3; unsupported=0; not_configured=1; failed=0,4,3,0,3,0,1,0,simplified_baseline,legacy_feasible_run,38.0,2.1748641000012867,1,38.0,1178.639427,38.0
Late 12,real,20,38,1251,True,38,1.0,0,244,1007,0,0,0,0,0.1950439648281375,0.8049560351718625,0.0,62.55,32.921052631578945,1.6460526315789474,3,7,2,0.0023980815347721,0.005595523581135,0.0015987210231814,True,SC,,False,False,simulated_annealing_solver,eligible=3/4; supported=0; partial=3; unsupported=0; not_configured=1; failed=0,4,3,0,3,0,1,0,simplified_baseline,legacy_feasible_run,38.0,2.22068179998314,1,38.0,2011.639427,38.0
Late 13,real,20,38,302,True,38,1.0,0,168,134,0,0,0,0,0.5562913907284768,0.4437086092715231,0.0,15.1,7.947368421052632,0.3973684210526316,5,8,2,0.0165562913907284,0.0264900662251655,0.0066225165562913,True,SC,,False,False,simulated_annealing_solver,eligible=3/4; supported=0; partial=3; unsupported=0; not_configured=1; failed=0,4,3,0,3,0,1,0,simplified_baseline,legacy_feasible_run,38.0,2.3223771000048146,1,38.0,1062.639427,38.0
Late 14,real,20,38,1106,True,38,1.0,0,115,991,0,0,0,0,0.1039783001808318,0.8960216998191681,0.0,55.3,29.105263157894736,1.4552631578947368,4,7,2,0.0036166365280289,0.0063291139240506,0.0018083182640144,True,SC,,False,False,simulated_annealing_solver,eligible=3/4; supported=0; partial=3; unsupported=0; not_configured=1; failed=0,4,3,0,3,0,1,0,simplified_baseline,legacy_feasible_run,38.0,2.1868327999836765,1,38.0,1866.639427,38.0
Late 15,real,20,38,92,True,38,1.0,0,51,41,0,0,0,0,0.5543478260869565,0.4456521739130434,0.0,4.6,2.421052631578948,0.1210526315789473,4,6,2,0.0434782608695652,0.0652173913043478,0.0217391304347826,True,SC,,False,False,simulated_annealing_solver,eligible=3/4; supported=0; partial=3; unsupported=0; not_configured=1; failed=0,4,3,0,3,0,1,0,simplified_baseline,legacy_feasible_run,38.0,2.1119342999882065,1,38.0,852.639427,38.0
Late 2,real,16,30,1321,True,30,1.0,0,246,1075,0,0,0,0,0.186222558667676,0.813777441332324,0.0,82.5625,44.03333333333333,2.752083333333333,3,7,2,0.0022710068130204,0.0052990158970476,0.0015140045420136,True,SC,,False,False,simulated_annealing_solver,eligible=3/4; supported=0; partial=3; unsupported=0; not_configured=1; failed=0,4,3,0,3,0,1,0,simplified_baseline,legacy_feasible_run,27.0,1.6211610000464134,1,30.0,1801.639427,27.0
Late 3,real,16,30,565,True,30,1.0,0,126,439,0,0,0,0,0.2230088495575221,0.7769911504424779,0.0,35.3125,18.83333333333333,1.1770833333333333,5,9,2,0.0088495575221238,0.015929203539823,0.0035398230088495,True,SC,,False,False,simulated_annealing_solver,eligible=3/4; supported=0; partial=3; unsupported=0; not_configured=1; failed=0,4,3,0,3,0,1,0,simplified_baseline,legacy_feasible_run,27.0,2.8739812000421807,1,30.0,1045.639427,27.0
Late 4,real,18,34,130,True,34,1.0,0,96,34,0,0,0,0,0.7384615384615385,0.2615384615384615,0.0,7.222222222222222,3.823529411764706,0.2124183006535947,4,5,2,0.0307692307692307,0.0384615384615384,0.0153846153846153,True,SC,,False,False,simulated_annealing_solver,eligible=3/4; supported=0; partial=3; unsupported=0; not_configured=1; failed=0,4,3,0,3,0,1,0,simplified_baseline,legacy_feasible_run,32.0,1.741732799971942,1,34.0,742.639427,32.0
Late 5,real,18,34,922,True,34,1.0,0,175,747,0,0,0,0,0.1898047722342733,0.8101952277657267,0.0,51.22222222222222,27.11764705882353,1.5065359477124185,4,7,2,0.0043383947939262,0.0075921908893709,0.0021691973969631,True,SC,,False,False,simulated_annealing_solver,eligible=3/4; supported=0; partial=3; unsupported=0; not_configured=1; failed=0,4,3,0,3,0,1,0,simplified_baseline,legacy_feasible_run,32.0,1.733332700037863,1,34.0,1534.639427,32.0
Late 6,real,18,34,321,True,34,1.0,0,162,159,0,0,0,0,0.5046728971962616,0.4953271028037383,0.0,17.833333333333332,9.441176470588236,0.5245098039215687,4,7,2,0.0124610591900311,0.0218068535825545,0.0062305295950155,True,SC,,False,False,simulated_annealing_solver,eligible=3/4; supported=0; partial=3; unsupported=0; not_configured=1; failed=0,4,3,0,3,0,1,0,simplified_baseline,legacy_feasible_run,32.0,1.7793009000015445,1,34.0,933.639427,32.0
Late 7,real,18,34,864,True,34,1.0,0,126,738,0,0,0,0,0.1458333333333333,0.8541666666666666,0.0,48.0,25.41176470588235,1.411764705882353,4,7,2,0.0046296296296296,0.0081018518518518,0.0023148148148148,True,SC,,False,False,simulated_annealing_solver,eligible=3/4; supported=0; partial=3; unsupported=0; not_configured=1; failed=0,4,3,0,3,0,1,0,simplified_baseline,legacy_feasible_run,32.0,1.816137699992396,1,34.0,1476.639427,32.0
Late 8,real,18,34,304,True,34,1.0,0,110,194,0,0,0,0,0.3618421052631579,0.6381578947368421,0.0,16.88888888888889,8.941176470588236,0.4967320261437908,4,7,2,0.0131578947368421,0.0230263157894736,0.006578947368421,True,SC,,False,False,simulated_annealing_solver,eligible=3/4; supported=0; partial=3; unsupported=0; not_configured=1; failed=0,4,3,0,3,0,1,0,simplified_baseline,legacy_feasible_run,32.0,2.066112599975895,1,34.0,916.639427,32.0
Late 9,real,18,34,504,True,34,1.0,0,102,402,0,0,0,0,0.2023809523809523,0.7976190476190477,0.0,28.0,14.823529411764708,0.8235294117647058,4,7,2,0.0079365079365079,0.0138888888888888,0.0039682539682539,True,SC,,False,False,simulated_annealing_solver,eligible=3/4; supported=0; partial=3; unsupported=0; not_configured=1; failed=0,4,3,0,3,0,1,0,simplified_baseline,legacy_feasible_run,32.0,1.7564025000319816,1,34.0,1116.639427,32.0
Middle 1,real,16,30,1136,True,30,1.0,0,143,993,0,0,0,0,0.1258802816901408,0.8741197183098591,0.0,71.0,37.86666666666667,2.3666666666666667,3,6,2,0.0026408450704225,0.005281690140845,0.0017605633802816,True,SC,,False,False,simulated_annealing_solver,eligible=3/4; supported=0; partial=3; unsupported=0; not_configured=1; failed=0,4,3,0,3,0,1,0,simplified_baseline,legacy_feasible_run,27.0,1.4416848000255411,1,30.0,1616.639427,27.0
Middle 10,real,20,38,911,True,38,1.0,0,197,714,0,0,0,0,0.2162458836443468,0.7837541163556532,0.0,45.55,23.973684210526315,1.1986842105263158,3,6,2,0.0032930845225027,0.0065861690450054,0.0021953896816684,True,SC,,False,False,simulated_annealing_solver,eligible=3/4; supported=0; partial=3; unsupported=0; not_configured=1; failed=0,4,3,0,3,0,1,0,simplified_baseline,legacy_feasible_run,38.0,2.201833400002215,1,38.0,1671.639427,38.0
Middle 11,real,20,38,1224,True,38,1.0,0,176,1048,0,0,0,0,0.1437908496732026,0.8562091503267973,0.0,61.2,32.21052631578947,1.6105263157894736,4,7,2,0.0032679738562091,0.005718954248366,0.0016339869281045,True,SC,,False,False,simulated_annealing_solver,eligible=3/4; supported=0; partial=3; unsupported=0; not_configured=1; failed=0,4,3,0,3,0,1,0,simplified_baseline,legacy_feasible_run,38.0,2.384934899979271,1,38.0,1984.639427,38.0
Middle 12,real,20,38,304,True,38,1.0,0,63,241,0,0,0,0,0.2072368421052631,0.7927631578947368,0.0,15.2,8.0,0.4,5,8,2,0.0164473684210526,0.0263157894736842,0.006578947368421,True,SC,,False,False,simulated_annealing_solver,eligible=3/4; supported=0; partial=3; unsupported=0; not_configured=1; failed=0,4,3,0,3,0,1,0,simplified_baseline,legacy_feasible_run,38.0,2.337198299996089,1,38.0,1064.639427,38.0
Middle 13,real,20,38,569,True,38,1.0,0,219,350,0,0,0,0,0.3848857644991212,0.6151142355008787,0.0,28.45,14.973684210526317,0.7486842105263158,4,7,2,0.0070298769771528,0.0123022847100175,0.0035149384885764,True,SC,,False,False,simulated_annealing_solver,eligible=3/4; supported=0; partial=3; unsupported=0; not_configured=1; failed=0,4,3,0,3,0,1,0,simplified_baseline,legacy_feasible_run,38.0,2.254400100035128,1,38.0,1329.639427,38.0
Middle 14,real,20,38,878,True,38,1.0,0,63,815,0,0,0,0,0.071753986332574,0.928246013667426,0.0,43.9,23.105263157894736,1.1552631578947368,4,8,2,0.0045558086560364,0.0091116173120728,0.0022779043280182,True,SC,,False,False,simulated_annealing_solver,eligible=3/4; supported=0; partial=3; unsupported=0; not_configured=1; failed=0,4,3,0,3,0,1,0,simplified_baseline,legacy_feasible_run,38.0,2.284198999986984,1,38.0,1638.639427,38.0
Middle 15,real,20,38,228,True,38,1.0,0,95,133,0,0,0,0,0.4166666666666667,0.5833333333333334,0.0,11.4,6.0,0.3,4,7,2,0.0175438596491228,0.0307017543859649,0.0087719298245614,True,SC,,False,False,simulated_annealing_solver,eligible=3/4; supported=0; partial=3; unsupported=0; not_configured=1; failed=0,4,3,0,3,0,1,0,simplified_baseline,legacy_feasible_run,38.0,2.294539100024849,1,38.0,988.639427,38.0
Middle 2,real,16,30,1474,True,30,1.0,0,245,1229,0,0,0,0,0.166214382632293,0.833785617367707,0.0,92.125,49.13333333333333,3.0708333333333333,4,8,2,0.0027137042062415,0.005427408412483,0.0013568521031207,True,SC,,False,False,simulated_annealing_solver,eligible=3/4; supported=0; partial=3; unsupported=0; not_configured=1; failed=0,4,3,0,3,0,1,0,simplified_baseline,legacy_feasible_run,27.0,1.5252992000314407,1,30.0,1954.639427,27.0
Middle 3,real,16,30,1448,True,30,1.0,0,237,1211,0,0,0,0,0.1636740331491712,0.8363259668508287,0.0,90.5,48.266666666666666,3.0166666666666666,5,9,2,0.0034530386740331,0.0062154696132596,0.0013812154696132,True,SC,,False,False,simulated_annealing_solver,eligible=3/4; supported=0; partial=3; unsupported=0; not_configured=1; failed=0,4,3,0,3,0,1,0,simplified_baseline,legacy_feasible_run,27.0,1.548882999981288,1,30.0,1928.639427,27.0
Middle 4,real,18,34,265,True,34,1.0,0,97,168,0,0,0,0,0.3660377358490566,0.6339622641509434,0.0,14.72222222222222,7.794117647058823,0.4330065359477124,3,6,2,0.0113207547169811,0.0226415094339622,0.0075471698113207,True,SC,,False,False,simulated_annealing_solver,eligible=3/4; supported=0; partial=3; unsupported=0; not_configured=1; failed=0,4,3,0,3,0,1,0,simplified_baseline,legacy_feasible_run,32.0,1.9230835000053048,1,34.0,877.639427,32.0
Middle 5,real,18,34,347,True,34,1.0,0,150,197,0,0,0,0,0.4322766570605187,0.5677233429394812,0.0,19.27777777777778,10.205882352941176,0.5669934640522876,4,7,2,0.0115273775216138,0.0201729106628242,0.0057636887608069,True,SC,,False,False,simulated_annealing_solver,eligible=3/4; supported=0; partial=3; unsupported=0; not_configured=1; failed=0,4,3,0,3,0,1,0,simplified_baseline,legacy_feasible_run,32.0,1.910789899993688,1,34.0,959.639427,32.0
Middle 6,real,18,34,316,True,34,1.0,0,162,154,0,0,0,0,0.5126582278481012,0.4873417721518987,0.0,17.555555555555557,9.294117647058824,0.5163398692810458,4,8,2,0.0126582278481012,0.0253164556962025,0.0063291139240506,True,SC,,False,False,simulated_annealing_solver,eligible=3/4; supported=0; partial=3; unsupported=0; not_configured=1; failed=0,4,3,0,3,0,1,0,simplified_baseline,legacy_feasible_run,32.0,1.8687626000028104,1,34.0,928.639427,32.0
Middle 7,real,18,34,617,True,34,1.0,0,141,476,0,0,0,0,0.2285251215559157,0.7714748784440842,0.0,34.27777777777778,18.147058823529413,1.0081699346405228,4,8,2,0.006482982171799,0.012965964343598,0.0032414910858995,True,SC,,False,False,simulated_annealing_solver,eligible=3/4; supported=0; partial=3; unsupported=0; not_configured=1; failed=0,4,3,0,3,0,1,0,simplified_baseline,legacy_feasible_run,32.0,1.859175000048708,1,34.0,1229.639427,32.0
Middle 8,real,18,34,286,True,34,1.0,0,62,224,0,0,0,0,0.2167832167832167,0.7832167832167832,0.0,15.88888888888889,8.411764705882353,0.4673202614379085,3,6,2,0.0104895104895104,0.0209790209790209,0.0069930069930069,True,SC,,False,False,simulated_annealing_solver,eligible=3/4; supported=0; partial=3; unsupported=0; not_configured=1; failed=0,4,3,0,3,0,1,0,simplified_baseline,legacy_feasible_run,32.0,1.711063800030388,1,34.0,898.639427,32.0
Middle 9,real,18,34,294,True,34,1.0,0,93,201,0,0,0,0,0.3163265306122449,0.6836734693877551,0.0,16.333333333333332,8.647058823529411,0.4803921568627451,4,8,2,0.0136054421768707,0.0272108843537414,0.0068027210884353,True,SC,,False,False,simulated_annealing_solver,eligible=3/4; supported=0; partial=3; unsupported=0; not_configured=1; failed=0,4,3,0,3,0,1,0,simplified_baseline,legacy_feasible_run,32.0,1.6513016000390053,1,34.0,906.639427,32.0
Test Instance 1,real,6,10,56,True,10,1.0,0,17,39,0,0,0,0,0.3035714285714285,0.6964285714285714,0.0,9.333333333333334,5.6,0.9333333333333332,4,5,2,0.0714285714285714,0.0892857142857142,0.0357142857142857,True,SC,,False,False,simulated_annealing_solver,eligible=3/4; supported=0; partial=3; unsupported=0; not_configured=1; failed=0,4,3,0,3,0,1,0,simplified_baseline,legacy_feasible_run,5.0,0.3068715999834239,1,10.0,116.639427,5.0
Test Instance 2,real,6,10,52,True,10,1.0,0,9,43,0,0,0,0,0.173076923076923,0.8269230769230769,0.0,8.666666666666666,5.2,0.8666666666666667,3,4,2,0.0576923076923076,0.0769230769230769,0.0384615384615384,True,SC,,False,False,simulated_annealing_solver,eligible=3/4; supported=0; partial=3; unsupported=0; not_configured=1; failed=0,4,3,0,3,0,1,0,simplified_baseline,legacy_feasible_run,5.0,0.3149369999882765,1,10.0,112.639427,5.0
Test Instance 3,real,6,10,95,True,10,1.0,0,37,58,0,0,0,0,0.3894736842105263,0.6105263157894737,0.0,15.833333333333334,9.5,1.5833333333333333,1,4,2,0.0105263157894736,0.0421052631578947,0.0210526315789473,True,SC,,False,False,simulated_annealing_solver,eligible=3/4; supported=0; partial=3; unsupported=0; not_configured=1; failed=0,4,3,0,3,0,1,0,simplified_baseline,legacy_feasible_run,5.0,0.3195643000071868,1,10.0,155.639427,5.0
Test Instance 4,real,6,10,220,True,10,1.0,0,50,170,0,0,0,0,0.2272727272727272,0.7727272727272727,0.0,36.66666666666666,22.0,3.6666666666666665,5,9,2,0.0227272727272727,0.0409090909090909,0.009090909090909,True,SC,,False,False,simulated_annealing_solver,eligible=3/4; supported=0; partial=3; unsupported=0; not_configured=1; failed=0,4,3,0,3,0,1,0,simplified_baseline,legacy_feasible_run,5.0,0.3164836000069044,1,10.0,280.639427,5.0
Test Instance 5,real,16,30,143,True,30,1.0,0,68,75,0,0,0,0,0.4755244755244755,0.5244755244755245,0.0,8.9375,4.766666666666667,0.2979166666666666,3,5,2,0.0209790209790209,0.0349650349650349,0.0139860139860139,True,SC,,False,False,simulated_annealing_solver,eligible=3/4; supported=0; partial=3; unsupported=0; not_configured=1; failed=0,4,3,0,3,0,1,0,simplified_baseline,legacy_feasible_run,27.0,1.360050399962347,1,30.0,623.639427,27.0
Test Instance 6,real,18,34,789,True,34,1.0,0,214,575,0,0,0,0,0.2712294043092522,0.7287705956907478,0.0,43.833333333333336,23.205882352941178,1.28921568627451,3,7,2,0.0038022813688212,0.008871989860583,0.0025348542458808,True,SC,,False,False,simulated_annealing_solver,eligible=3/4; supported=0; partial=3; unsupported=0; not_configured=1; failed=0,4,3,0,3,0,1,0,simplified_baseline,legacy_feasible_run,32.0,1.8839853000245057,1,34.0,1401.639427,32.0
Test Instance 7,real,20,38,1266,True,38,1.0,0,178,1088,0,0,0,0,0.1406003159557662,0.8593996840442338,0.0,63.3,33.31578947368421,1.6657894736842105,4,8,2,0.0031595576619273,0.0063191153238546,0.0015797788309636,True,SC,,False,False,simulated_annealing_solver,eligible=3/4; supported=0; partial=3; unsupported=0; not_configured=1; failed=0,4,3,0,3,0,1,0,simplified_baseline,legacy_feasible_run,38.0,1.984111500030849,1,38.0,2026.639427,38.0
Test Instance 8,real,20,38,719,True,38,1.0,0,47,672,0,0,0,0,0.0653685674547983,0.9346314325452016,0.0,35.95,18.92105263157895,0.9460526315789474,4,7,2,0.0055632823365785,0.0097357440890125,0.0027816411682892,True,SC,,False,False,simulated_annealing_solver,eligible=3/4; supported=0; partial=3; unsupported=0; not_configured=1; failed=0,4,3,0,3,0,1,0,simplified_baseline,legacy_feasible_run,38.0,2.109106599993538,1,38.0,1479.639427,38.0
Test Instance Demo,real,4,6,1,True,6,1.0,0,0,1,0,0,0,0,0.0,1.0,0.0,0.25,0.1666666666666666,0.0416666666666666,1,1,1,1.0,1.0,1.0,True,SC,,False,False,simulated_annealing_solver,eligible=3/4; supported=0; partial=3; unsupported=0; not_configured=1; failed=0,4,3,0,3,0,1,0,simplified_baseline,legacy_feasible_run,3.0,0.2227386000449769,1,6.0,25.639427,3.0
synthetic_study_easy_04t_double_seed42_0016,synthetic,4,8,4,True,6,0.75,2,2,2,0,0,0,0,0.5,0.5,0.0,1.0,0.5,0.125,4,4,2,1.0,1.0,0.5,True,weighted_soft_penalty,minimize,True,False,cpsat_solver,eligible=2/4; supported=0; partial=2; unsupported=1; not_configured=1; failed=0,4,2,0,2,1,1,0,partially_supported,partially_modeled_run,6.0,0.044132599975758496,3,6.0,36.36217166666666,
